year,state,main_species_group,species_name,live_weight,landed_weight
2004,CAMPECHE,CAZON,CAZON ENT. FCO.,238986,238986
2004,CAMPECHE,CAZON,CAZON FILETE DE FCO.,16,8
2004,CAMPECHE,TIBURON,CORNUDA DESV. FCA. (SPHYRNA ZYGAENA),342.09999999999997,311
2004,CAMPECHE,TIBURON,CORNUDA ENT. FCA. (SPHYRNA ZYGAENA),2621,2621
2004,CAMPECHE,TIBURON,CRUZ ENT. FCA.,184,184
2004,CAMPECHE,TIBURON,GATA DESV. FCA.,1942.5999999999997,1766
2004,CAMPECHE,TIBURON,GATA ENT. FCA.,2618,2618
2004,CAMPECHE,TIBURON,JAQUETON ENT. FCO.,22856,22856
2004,CAMPECHE,TIBURON,PEZ MARTILLO ENT. FCO. (SPHYRNA LEWINI),97,97
2004,CAMPECHE,TIBURON,TIBURON DESV. FCO.,17230.399999999998,15664
2004,CAMPECHE,TIBURON,TIBURON ENT. FCO.,29051,29051
2004,CAMPECHE,TIBURON,TINTORERA ENT. FCA.,213,213
2004,TABASCO,CAZON,CAZON ENT. FCO.,213891,213891
2004,TABASCO,TIBURON,CORNUDA ENT. FCA. (SPHYRNA ZYGAENA),14802,14802
2004,TABASCO,TIBURON,GATA ENT. FCA.,2299,2299
2004,TABASCO,TIBURON,TIBURON CHATO ENT. FCO.,19469,19469
2004,TABASCO,TIBURON,TIBURON ENT. FCO.,101235,101235
2004,TABASCO,TIBURON,TINTORERA ENT. FCA.,517,517
2004,TABASCO,TIBURON,TRIPA ENT. FCA.,2174,2174
2004,TAMAULIPAS,CAZON,CAZON DESV. FCO.,43484.100000000006,39531
2004,TAMAULIPAS,CAZON,CAZON ENT. FCO.,1033051,1033051
2004,TAMAULIPAS,TIBURON,ALETA DE TIBURON,0,186
2004,TAMAULIPAS,TIBURON,ANGELITO DESV. FCO. (SQUATINA SQUATINA),4224,3840
2004,TAMAULIPAS,TIBURON,ANGELITO ENT. FCO. (SQUATINA SQUATINA),1614,1614
2004,TAMAULIPAS,TIBURON,CORNUDA ENT. FCA. (SPHYRNA ZYGAENA),398,398
2004,TAMAULIPAS,TIBURON,GATA ENT. FCA.,2000,2000
2004,TAMAULIPAS,TIBURON,TIBURON DESV. FCO.,21179.4,19254
2004,TAMAULIPAS,TIBURON,TIBURON ENT. FCO.,715209,715209
2004,TAMAULIPAS,TIBURON,TINTORERA ENT. FCA.,263,263
2004,TAMAULIPAS,TIBURON,TRIPA DESV. FCA.,26.4,24
2004,TAMAULIPAS,TIBURON,TRIPA ENT. FCA.,31377,31377
2004,VERACRUZ,CAZON,CAZON DE LEY ENT. FCO.,593,593
2004,VERACRUZ,CAZON,CAZON DESV. FCO.,1608.2000000000003,1462
2004,VERACRUZ,CAZON,CAZON ENT. FCO.,158663,158663
2004,VERACRUZ,TIBURON,ALETA DE TIBURON,0,850
2004,VERACRUZ,TIBURON,ANGELITO ENT. FCO. (SQUATINA SQUATINA),45080,45080
2004,VERACRUZ,TIBURON,CORNUDA ENT. FCA. (SPHYRNA ZYGAENA),90800,90800
2004,VERACRUZ,TIBURON,GATA ENT. FCA.,5,5
2004,VERACRUZ,TIBURON,TIBURON DESV. FCO.,482.9,439
2004,VERACRUZ,TIBURON,TIBURON DESV. Y DESC. FCO.,47526,31684
2004,VERACRUZ,TIBURON,TIBURON ENT. FCO.,339309,339309
2004,VERACRUZ,TIBURON,TIBURON ZORRO ENT. FCO. (ALOPIAS VULPINUS),27470,27470
2004,VERACRUZ,TIBURON,TINTORERA ENT. FCA.,110,110
2004,VERACRUZ,TIBURON,TRIPA ENT. FCA.,5289,5289
2004,YUCATAN,CAZON,CAZON DESV. FCO.,283215.89999999973,257469
2004,YUCATAN,CAZON,CAZON ENT. FCO.,348,348
2004,YUCATAN,TIBURON,CORNUDA ENT. FCA. (SPHYRNA ZYGAENA),804,804
2004,YUCATAN,TIBURON,GATA DESV. FCA.,1406.8999999999999,1279
2004,YUCATAN,TIBURON,GATA DESV. Y DESC. FCA.,8649,5766
2004,YUCATAN,TIBURON,JAQUETON ENT. FCO.,65,65
2004,YUCATAN,TIBURON,TIBURON DESV. FCO.,184988.09999999992,168171
2004,YUCATAN,TIBURON,TIBURON ENT. FCO.,127067,127067
2004,YUCATAN,TIBURON,TINTORERA DESV. Y DESC. FCA.,18,12
2004,YUCATAN,TIBURON,TINTORERA ENT. FCA.,10990,10990
2005,CAMPECHE,CAZON,CAZON DESV. FCO.,215088.49999999997,195535
2005,CAMPECHE,CAZON,CAZON ENT. FCO.,193769,193769
2005,CAMPECHE,CAZON,CAZON FILETE DE FCO.,4130,2065
2005,CAMPECHE,TIBURON,CORNUDA DESV. FCA. (SPHYRNA ZYGAENA),319,290
2005,CAMPECHE,TIBURON,CORNUDA ENT. FCA. (SPHYRNA ZYGAENA),4233,4233
2005,CAMPECHE,TIBURON,GATA DESV. FCA.,1316.6999999999998,1197
2005,CAMPECHE,TIBURON,GATA ENT. FCA.,616,616
2005,CAMPECHE,TIBURON,JAQUETON ENT. FCO.,32154,32154
2005,CAMPECHE,TIBURON,TIBURON DESV. FCO.,17435,15850
2005,CAMPECHE,TIBURON,TIBURON ENT. FCO.,26514,26514
2005,CAMPECHE,TIBURON,TORO ENT. FCO.,158,158
2005,TABASCO,CAZON,CAZON DE LEY ENT. FCO.,158,158
2005,TABASCO,CAZON,CAZON DESV. FCO.,503.8,458
2005,TABASCO,CAZON,CAZON ENT. FCO.,254266,254266
2005,TABASCO,TIBURON,CORNUDA ENT. FCA. (SPHYRNA ZYGAENA),16783,16783
2005,TABASCO,TIBURON,GATA ENT. FCA.,4486,4486
2005,TABASCO,TIBURON,TIBURON BATEA ENT. FCO.,56,56
2005,TABASCO,TIBURON,TIBURON CHATO ENT. FCO.,1027,1027
2005,TABASCO,TIBURON,TIBURON COLUDO ENT. FCO. (ALOPIAS PELAGICUS),535,535
2005,TABASCO,TIBURON,TIBURON ENT. FCO.,159758,159758
2005,TABASCO,TIBURON,TINTORERA ENT. FCA.,130,130
2005,TABASCO,TIBURON,TRIPA ENT. FCA.,1850,1850
2005,TAMAULIPAS,CAZON,CAZON DE LEY DESV. FCO.,1054.9,959
2005,TAMAULIPAS,CAZON,CAZON DE LEY ENT. FCO.,22,22
2005,TAMAULIPAS,CAZON,CAZON DESV. FCO.,75851.6,68956
2005,TAMAULIPAS,CAZON,CAZON ENT. FCO.,950977,950977
2005,TAMAULIPAS,TIBURON,ALETA DE TIBURON,0,142
2005,TAMAULIPAS,TIBURON,ANGELITO DESV. FCO. (SQUATINA SQUATINA),6193,5630
2005,TAMAULIPAS,TIBURON,ANGELITO ENT. FCO. (SQUATINA SQUATINA),70,70
2005,TAMAULIPAS,TIBURON,CORNUDA ENT. FCA. (SPHYRNA ZYGAENA),75,75
2005,TAMAULIPAS,TIBURON,TIBURON DESV. FCO.,8394.1,7631
2005,TAMAULIPAS,TIBURON,TIBURON ENT. FCO.,524016,524016
2005,TAMAULIPAS,TIBURON,TINTORERA DESV. Y DESC. FCA.,45,30
2005,TAMAULIPAS,TIBURON,TINTORERA ENT. FCA.,140,140
2005,TAMAULIPAS,TIBURON,TRIPA DESV. FCA.,2088.9,1899
2005,TAMAULIPAS,TIBURON,TRIPA ENT. FCA.,33212,33212
2005,VERACRUZ,CAZON,CAZON DE LEY ENT. FCO.,2616,2616
2005,VERACRUZ,CAZON,CAZON DESV. FCO.,3203.2,2912
2005,VERACRUZ,CAZON,CAZON ENT. FCO.,279074,279074
2005,VERACRUZ,TIBURON,ALETA DE TIBURON,0,187
2005,VERACRUZ,TIBURON,ANGELITO ENT. FCO. (SQUATINA SQUATINA),82120,82120
2005,VERACRUZ,TIBURON,CORNUDA ENT. FCA. (SPHYRNA ZYGAENA),134293,134293
2005,VERACRUZ,TIBURON,GATA ENT. FCA.,38,38
2005,VERACRUZ,TIBURON,TIBURON CHATO DESV. Y DESC. FCO.,337.5,270
2005,VERACRUZ,TIBURON,TIBURON DESV. Y DESC. FCO.,59866.5,39911
2005,VERACRUZ,TIBURON,TIBURON ENT. FCO.,373026,373026
2005,VERACRUZ,TIBURON,TIBURON ZORRO ENT. FCO. (ALOPIAS VULPINUS),8365,8365
2005,VERACRUZ,TIBURON,TINTORERA ENT. FCA.,198,198
2005,VERACRUZ,TIBURON,TRIPA ENT. FCA.,27767,27767
2005,YUCATAN,CAZON,CAZON DESV. FCO.,431602.6000000004,392366
2005,YUCATAN,TIBURON,CORNUDA DESV. FCA. (SPHYRNA ZYGAENA),181.5,165
2005,YUCATAN,TIBURON,CORNUDA ENT. FCA. (SPHYRNA ZYGAENA),909,909
2005,YUCATAN,TIBURON,GATA DESV. FCA.,832.7,757
2005,YUCATAN,TIBURON,GATA DESV. Y DESC. FCA.,4240.5,2827
